CD_MUN;NM_MUN;YIELD_2000;YIELD_2001;YIELD_2002;YIELD_2003;YIELD_2004;YIELD_2005;YIELD_2006;YIELD_2007;YIELD_2008;YIELD_2009;YIELD_2010;YIELD_2011;YIELD_2012;YIELD_2013;YIELD_2014;YIELD_2015;YIELD_2016;YIELD_2017;YIELD_2018;YIELD_2019;YIELD_2020
3513405;Cruzeiro;40000;40000;40000;40000;40000;39761;39762;0;39761;40409;45000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000
3525508;Joanópolis;NA;NA;42000;40000;42000;40957;41000;41000;41000;41000;50000;60000;0;0;0;0;0;0;0;0;0
3504107;Atibaia;NA;NA;40000;41000;42000;40354;40000;40000;50000;50000;55000;90000;75000;90000;70000;70000;70000;70000;70000;70000;70000
3538600;Piracaia;NA;31278;40000;40000;45000;44704;30000;45000;45000;45000;52000;52000;52000;52000;50000;50000;50000;50000;50000;50000;50000
3539400;Piratininga;NA;80000;45000;45000;45000;44690;44690;80000;67857;67857;67857;70000;70000;70000;66667;66667;66667;85000;75000;75000;70000
3532405;Nazaré Paulista;30000;NA;45000;46000;45000;44405;45000;45000;45000;45000;54000;80000;70000;70000;70000;70000;95000;95000;95000;85000;85000
3507605;Bragança Paulista;NA;NA;50000;48000;48000;48666;49000;49000;50000;50000;52000;100000;100000;100000;100000;100000;80000;80000;80000;80000;80000
3556354;Vargem;NA;NA;45000;50000;50000;44714;80000;45000;45000;45000;50000;50000;80000;0;0;0;0;0;0;0;0
3503158;Arapeí;NA;NA;50000;50000;50000;50134;50135;0;50000;40000;50000;65000;65000;65000;65000;59322;0;65000;65000;65000;65000
3525904;Jundiaí;NA;NA;50000;50000;50000;49666;50000;50000;50000;0;60000;0;0;0;0;0;0;0;0;0;0
3541901;Queluz;NA;NA;50000;50000;50000;54455;80000;13000;54455;55000;55000;61000;61000;61000;61000;61000;61000;61000;61000;61000;61000
3552007;Silveiras;NA;NA;50000;50000;50000;62600;60000;0;62600;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000
3556503;Várzea Paulista;NA;NA;50000;50000;50000;52000;50000;50000;50000;0;80000;0;0;0;0;0;0;0;0;0;0
3556107;Valentim Gentil;70000;NA;50000;50000;50000;0;50000;0;110000;90000;78809;78151;0;90000;90000;90000;70000;68000;65000;73000;70000
3549607;São José do Barreiro;50000;50000;50000;50000;50000;60173;60000;60000;60173;60000;60000;60000;60000;60000;60000;60000;60000;60000;60000;60000;60000
3504909;Bananal;60000;72000;50000;50000;50000;50134;50000;50000;50000;49107;50000;65000;65000;65000;65000;65000;65000;65000;65000;65000;65000
3535804;Paranapanema;69117;82901;50000;50000;50000;49663;100000;50000;50000;100000;80000;80000;80000;80000;80000;88500;88500;88500;70000;80000;77500
3538907;Pirajuí;70000;70000;70000;49000;51748;74844;70000;80000;80000;80000;80000;75000;75000;75000;69138;69138;75000;75000;90000;90000;80000
3515194;Espírito Santo do Turvo;47000;75000;56500;75000;56520;59597;75000;59600;75000;75000;75000;75000;80000;79630;75000;75000;70000;60000;65000;75000;78900
3536901;Pedranópolis;65000;80000;71111;35516;60000;59596;75000;75000;75000;65625;88235;80000;73000;75000;70000;70000;75000;75000;70000;75000;80000
3501152;Alumínio;NA;NA;50000;50000;60000;50134;50135;50000;50000;0;10000;90000;90000;100000;100000;100000;100000;100000;100000;85000;100000
3502606;Aparecida d'Oeste;NA;NA;NA;60000;60000;59599;120000;140000;14000;120000;100000;100000;90000;90000;80000;80000;80000;80000;80000;85000;85000
3515301;Estrela do Norte;NA;30000;35000;60000;60000;69904;70000;70000;70000;77500;90000;70000;70600;80000;75000;90000;90000;85000;85000;85000;85000
3553500;Tapiraí;NA;NA;60000;60000;60000;60173;60173;60173;60173;0;0;0;0;0;0;0;0;0;0;0;0
3529609;Meridiano;80000;NA;60000;60000;60000;60000;100000;80000;80000;80000;82352;70000;60000;75000;75000;69231;75000;74525;75000;62000;70000
3519071;Hortolândia;NA;60000;60000;60000;60000;59598;60000;60000;60000;60000;0;60000;60000;60000;83333;0;0;0;0;0;0
3528403;Mairinque;NA;60000;60000;60000;60000;69523;60000;0;69523;0;0;0;0;0;0;0;0;0;0;0;0
3550605;São Roque;NA;60000;60000;60000;60000;59595;59595;59000;59595;0;0;100000;90000;100000;100000;0;0;100000;100000;83333;83333
3502309;Anhembi;60000;60000;60000;60000;60000;54639;65000;85000;85000;85000;75000;75000;75000;80000;62000;85000;70000;80000;80000;79259;79259
3512407;Cordeirópolis;60000;60000;60000;60000;60000;59607;60000;60000;60000;90000;90000;90000;90000;90000;90002;70000;110000;110000;110065;96600;91707
3519709;Ibiúna;60000;60000;60000;60000;60000;59595;59595;0;59595;0;0;0;0;0;0;0;0;0;0;0;0
3533403;Nova Odessa;60000;60000;60000;60000;60000;59597;60000;60000;60000;85000;0;60000;60000;75000;75000;67000;67778;67778;71111;70000;0
3537107;Pedreira;60000;60000;60000;60000;60000;60548;60000;60000;60000;80000;52000;90000;85000;60000;60000;60000;0;0;0;0;0
3537800;Piedade;60000;60000;60000;60000;60000;50134;50000;50000;50134;50000;50000;0;0;0;0;0;0;0;0;0;0
3538006;Pindamonhangaba;60000;60000;60000;60000;60000;60000;70000;60000;60000;60000;60000;60000;60000;60000;0;0;0;0;0;0;0
3550407;São Pedro;60000;60000;60000;60000;60000;59602;60000;59602;60000;60000;60000;70000;60000;60000;42339;54732;65000;65000;67000;65000;65000
3552403;Sumaré;60000;60000;60000;60000;60000;59597;85000;60000;60000;60000;0;60000;60000;90000;90000;82850;90000;96552;85000;85000;85000
3552908;Taciba;60000;60000;60000;60000;60000;59605;60000;0;60000;70000;70000;70000;71600;80000;70000;90000;70000;70000;90000;90000;81111
3508405;Cabreúva;70000;70000;60000;60000;60000;59598;80000;75000;70000;80000;80000;80000;80000;80000;70000;80000;80000;75000;60000;75000;79000
3536570;Paulistânia;60000;60000;83000;60000;60000;58888;70000;58887;58887;58604;58887;65000;65000;65000;93105;93105;62500;62500;70000;70000;70000
3502705;Apiaí;NA;NA;NA;70000;60000;39759;40000;100000;100000;35000;0;70000;0;0;0;0;0;0;0;0;0
3502754;Araçariguama;60000;60000;70000;70000;60000;59595;59595;44285;59595;0;0;0;0;0;0;0;0;0;0;0;0
3512308;Conchas;60000;60000;60000;170764;60000;49682;70000;60000;80000;70009;65000;65000;70000;70010;70010;70000;70000;70000;80000;80524;80524
